query,name,customerRatingImage,salePrice,mediumImage,brandName,queryTime,productUrl
cereal,General Mills Honey Nut Cheerios Gluten Free Cereal Family Size 21.6 oz. box,http://i2.walmartimages.com/i/CustRating/4_8.gif,4.55,https://i5.walmartimages.com/asr/d2fb2969-242e-4267-bda6-5d1dca3d99ca_2.5aa0fb030df8de635723985ecb9986ac.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FGeneral-Mills-Honey-Nut-Cheerios-Gluten-Free-Cereal-Family-Size-21-6-oz-box%2F17208751%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,Kellogg's Frosted Mini-Wheats Giant Size Original Cereal 36 oz. Box,http://i2.walmartimages.com/i/CustRating/4_9.gif,5.59,https://i5.walmartimages.com/asr/c569d299-2b62-43ab-b074-c5ed3650724d_1.f663247844d6ac96cda333283b949bd2.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Frosted-Mini-Wheats-Giant-Size-Original-Cereal-36-oz-Box%2F25875665%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,Reese's Puffs Peanut Butter Chocolate Cereal 22.9 oz Box,http://i2.walmartimages.com/i/CustRating/4_7.gif,3.64,https://i5.walmartimages.com/asr/72027036-ffd7-4127-9e17-fa79f7540501_2.a628081ce7d6c8b7269640f8d9980ecc.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's Rice Krispies,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FReese-s-Puffs-Peanut-Butter-Chocolate-Cereal-22-9-oz-Box%2F14869856%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,"Kellogg's Frosted Mini-Wheats Bite Size Cereal, 24 Oz",http://i2.walmartimages.com/i/CustRating/4_7.gif,3.99,https://i5.walmartimages.com/asr/3cb91906-4e5f-4bc5-ac5d-d03bbf640468_1.d4f862b1a1152ac771129cdd91970a12.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Frosted-Mini-Wheats-Bite-Size-Cereal-24-Oz%2F10789576%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,Cinnamon Toast Crunch Cereal 23.6 oz. box,http://i2.walmartimages.com/i/CustRating/4_7.gif,4.58,https://i5.walmartimages.com/asr/1687f5b5-430b-4c94-bacb-a53171307f7a_1.ee69d618206111a6d56db12520b1b6ec.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FCinnamon-Toast-Crunch-Cereal-23-6-oz-box%2F25847977%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,"Froot Loops Family Size Multi-Grain Cereal, 21.7 oz",http://i2.walmartimages.com/i/CustRating/4_8.gif,4.43,https://i5.walmartimages.com/asr/20fe3381-62f9-4233-84d7-870dae4996f5_1.3f51ec7c22cee0258b90416365e0a316.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,FROOT LOOPS,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FFroot-Loops-Family-Size-Multi-Grain-Cereal-21-7-oz%2F10891818%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,Kellogg's Variety Fun Pack Cereal 8 Ct,http://i2.walmartimages.com/i/CustRating/4_7.gif,3.83,https://i5.walmartimages.com/asr/1caa13fd-e55d-444f-a1e1-c95b152ce849_1.94c7e443d55630304076643e1845c608.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Variety-Fun-Pack-Cereal-8-Ct%2F10898865%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,Kellogg's Frosted Flakes Cereal 33 oz. box,http://i2.walmartimages.com/i/CustRating/4_8.gif,5.59,https://i5.walmartimages.com/asr/a05c7ce3-48a6-4d84-b87c-c3864c413cc8_1.fe063312c865794b463bd87827f9910d.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Kellogg's,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Frosted-Flakes-Cereal-33-oz-box%2F25875664%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cereal,Honey Nut Cheerios Gluten Free Cereal 17 oz Box,http://i2.walmartimages.com/i/CustRating/4_8.gif,2.99,https://i5.walmartimages.com/asr/8e611ab2-9896-4092-bdb1-ad04d63e6c15_1.32832773c8cded29b446851c38843d90.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Cheerios,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FHoney-Nut-Cheerios-Gluten-Free-Cereal-17-oz-Box%2F10311277%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
cold cereal,"Kellogg's Special K Fruit & Yogurt Cereal, 19.1 oz",http://i2.walmartimages.com/i/CustRating/4_7.gif,4.93,https://i5.walmartimages.com/asr/0cedac2c-3023-43fa-bd11-97f17fded0d9_1.854a81eaede828e92152652dcde38fe1.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,Special K,84901,http://c.affil.walmart.com/t/api02?l=https%3A%2F%2Fwww.walmart.com%2Fip%2FKellogg-s-Special-K-Fruit-Yogurt-Cereal-19-1-oz%2F47725947%3Faffp1%3DwK6YOVUB4lMzsbzYO5nRat4U0bxRf-zG3VbGA3KI0i8%26affilsrc%3Dapi%26veh%3Daff%26wmlspartner%3Dreadonlyapi
